Cidade-Uf,mes/ano,chs
MONTES CLAROS-MG,01/06/2022,"64,80%"
JUNDIAI-SP,01/06/2022,"75,20%"
MARINGA-PR,01/06/2022,"81,80%"
CARIACICA-ES,01/06/2022,"51,70%"
BAURU-SP,01/06/2022,"68,00%"
ANAPOLIS-GO,01/06/2022,"72,00%"
RIO BRANCO-AC,01/06/2022,"61,80%"
CANOAS-RS,01/06/2022,"86,00%"
SAO VICENTE-SP,01/06/2022,"56,30%"
VITORIA-ES,01/06/2022,"71,50%"
PELOTAS-RS,01/06/2022,"64,90%"
FRANCA-SP,01/06/2022,"62,20%"
ITAQUAQUECETUBA-SP,01/06/2022,"61,00%"
BLUMENAU-SC,01/06/2022,"67,80%"
PONTA GROSSA-PR,01/06/2022,"69,60%"
CARUARU-PE,01/06/2022,"55,30%"
CAUCAIA-CE,01/06/2022,"28,30%"
RIBEIRAO DAS NEVES-MG,01/06/2022,"58,60%"
VITORIA DA CONQUISTA-BA,01/06/2022,"53,20%"
PAULISTA-PE,01/06/2022,"61,10%"
PETROPOLIS-RJ,01/06/2022,"60,50%"
GUARUJA-SP,01/06/2022,"54,50%"
UBERABA-MG,01/06/2022,"79,10%"
PETROLINA-PE,01/06/2022,"31,20%"
BOA VISTA-RR,01/06/2022,"50,20%"
TAUBATE-SP,01/06/2022,"82,20%"
CASCAVEL-PR,01/06/2022,"66,90%"
SANTAREM-PA,01/06/2022,"57,30%"
LIMEIRA-SP,01/06/2022,"68,80%"
SUZANO-SP,01/06/2022,"66,40%"
SAO JOSE DOS PINHAIS-PR,01/06/2022,"63,60%"
PRAIA GRANDE-SP,01/06/2022,"83,70%"
GOVERNADOR VALADARES-MG,01/06/2022,"61,20%"
VOLTA REDONDA-RJ,01/06/2022,"65,50%"
GRAVATAI-RS,01/06/2022,"71,70%"
MOSSORO-RN,01/06/2022,"60,40%"
SANTA MARIA-RS,01/06/2022,"59,60%"
FOZ DO IGUACU-PR,01/06/2022,"67,30%"
VARZEA GRANDE-MT,01/06/2022,"53,20%"
NOVO HAMBURGO-RS,01/06/2022,"70,90%"
IMPERATRIZ-MA,01/06/2022,"55,90%"
JUAZEIRO DO NORTE-CE,01/06/2022,"59,70%"
SUMARE-SP,01/06/2022,"82,10%"
BARUERI-SP,01/06/2022,"71,30%"
IPATINGA-MG,01/06/2022,"68,70%"
CAMACARI-BA,01/06/2022,"31,40%"
VIAMAO-RS,01/06/2022,"50,40%"
EMBU DAS ARTES-SP,01/06/2022,"64,20%"
ITABORAI-RJ,01/06/2022,"25,20%"
TABOAO DA SERRA-SP,01/06/2022,"76,20%"
MAGE-RJ,01/06/2022,"24,00%"
MARABA-PA,01/06/2022,"23,80%"
PALMAS-TO,01/06/2022,"45,50%"
SAO CARLOS-SP,01/06/2022,"74,70%"
COLOMBO-PR,01/06/2022,"66,90%"
ARAPIRACA-AL,01/06/2022,"71,00%"
MARILIA-SP,01/06/2022,"70,30%"
SETE LAGOAS-MG,01/06/2022,"77,10%"
SAO LEOPOLDO-RS,01/06/2022,"76,30%"
DIVINOPOLIS-MG,01/06/2022,"82,50%"
MARACANAU-CE,01/06/2022,"47,60%"
AMERICANA-SP,01/06/2022,"88,20%"
JACAREI-SP,01/06/2022,"59,70%"
ITAPEVI-SP,01/06/2022,"62,00%"
PARNAMIRIM-RN,01/06/2022,"61,10%"
PRESIDENTE PRUDENTE-SP,01/06/2022,"73,80%"
ARARAQUARA-SP,01/06/2022,"69,40%"
MACAE-RJ,01/06/2022,"42,20%"
ITABUNA-BA,01/06/2022,"30,70%"
SAO JOSE-SC,01/06/2022,"95,90%"
SANTA LUZIA-MG,01/06/2022,"62,70%"
INDAIATUBA-SP,01/06/2022,"69,70%"
ALVORADA-RS,01/06/2022,"63,20%"
COTIA-SP,01/06/2022,"68,40%"
JUAZEIRO-BA,01/06/2022,"37,30%"
HORTOLANDIA-SP,01/06/2022,"86,00%"
RIO GRANDE-RS,01/06/2022,"50,80%"
DOURADOS-MS,01/06/2022,"71,00%"
CRICIUMA-SC,01/06/2022,"73,50%"
RONDONOPOLIS-MT,01/06/2022,"68,00%"
CACHOEIRO DE ITAPEMIRIM-ES,01/06/2022,"69,80%"
CABO FRIO-RJ,01/06/2022,"58,90%"
RIO CLARO-SP,01/06/2022,"58,80%"
SOBRAL-CE,01/06/2022,"50,70%"
SANTA BARBARA DOESTE-SP,01/06/2022,"77,00%"
PASSO FUNDO-RS,01/06/2022,"75,50%"
ARACATUBA-SP,01/06/2022,"83,10%"
CHAPECO-SC,01/06/2022,"56,20%"
ITAJAI-SC,01/06/2022,"75,90%"
ILHEUS-BA,01/06/2022,"49,20%"
CABO DE SANTO AGOSTINHO-PE,01/06/2022,"42,70%"
MESQUITA-RJ,01/06/2022,"90,20%"
FERRAZ DE VASCONCELOS-SP,01/06/2022,"81,20%"
NOVA FRIBURGO-RJ,01/06/2022,"41,60%"
BARRA MANSA-RJ,01/06/2022,"48,10%"
LAURO DE FREITAS-BA,01/06/2022,"74,00%"
CASTANHAL-PA,01/06/2022,"59,00%"
RIO VERDE-GO,01/06/2022,"72,80%"
IBIRITE-MG,01/06/2022,"76,40%"
ANGRA DOS REIS-RJ,01/06/2022,"33,50%"
LUZIANIA-GO,01/06/2022,"37,70%"
GUARAPUAVA-PR,01/06/2022,"46,60%"
FRANCISCO MORATO-SP,01/06/2022,"46,10%"
NOSSA SENHORA DO SOCORRO-SE,01/06/2022,"47,30%"
AGUAS LINDAS DE GOIAS-GO,01/06/2022,"49,10%"
CAMARAGIBE-PE,01/06/2022,"53,00%"
TERESOPOLIS-RJ,01/06/2022,"60,10%"
LAGES-SC,01/06/2022,"42,50%"
ITU-SP,01/06/2022,"60,70%"
PARAUAPEBAS-PA,01/06/2022,"46,00%"
POCOS DE CALDAS-MG,01/06/2022,"65,80%"
TIMON-MA,01/06/2022,"31,80%"
NILOPOLIS-RJ,01/06/2022,"83,90%"
JEQUIE-BA,01/06/2022,"23,10%"
CAXIAS-MA,01/06/2022,"52,50%"
SAO JOSE DE RIBAMAR-MA,01/06/2022,"59,20%"
PINDAMONHANGABA-SP,01/06/2022,"37,00%"
BRAGANCA PAULISTA-SP,01/06/2022,"60,90%"
PARNAIBA-PI,01/06/2022,"29,10%"
SAO CAETANO DO SUL-SP,01/06/2022,"98,50%"
QUEIMADOS-RJ,01/06/2022,"37,00%"
ITAPETININGA-SP,01/06/2022,"63,00%"
PARANAGUA-PR,01/06/2022,"63,30%"
JARAGUA DO SUL-SC,01/06/2022,"60,40%"
LINHARES-ES,01/06/2022,"44,10%"
PALHOCA-SC,01/06/2022,"87,10%"
TEIXEIRA DE FREITAS-BA,01/06/2022,"64,30%"
VALPARAISO DE GOIAS-GO,01/06/2022,"93,00%"
PATOS DE MINAS-MG,01/06/2022,"77,20%"
ALAGOINHAS-BA,01/06/2022,"60,90%"
MOGI GUACU-SP,01/06/2022,"80,00%"
ITAPECERICA DA SERRA-SP,01/06/2022,"38,50%"
ABAETETUBA-PA,01/06/2022,"8,60%"
ARAGUAINA-TO,01/06/2022,"20,60%"
TEOFILO OTONI-MG,01/06/2022,"40,70%"
SAPUCAIA DO SUL-RS,01/06/2022,"69,30%"
JAU-SP,01/06/2022,"49,30%"
BARREIRAS-BA,01/06/2022,"56,00%"
POUSO ALEGRE-MG,01/06/2022,"45,20%"
VITORIA DE SANTO ANTAO-PE,01/06/2022,"52,30%"
MARICA-RJ,01/06/2022,"77,10%"
BOTUCATU-SP,01/06/2022,"75,60%"
BARBACENA-MG,01/06/2022,"35,10%"
GARANHUNS-PE,01/06/2022,"61,70%"
ATIBAIA-SP,01/06/2022,"73,90%"
PORTO SEGURO-BA,01/06/2022,"44,70%"
VARGINHA-MG,01/06/2022,"71,70%"
URUGUAIANA-RS,01/06/2022,"33,60%"
APUCARANA-PR,01/06/2022,"73,00%"
CUBATAO-SP,01/06/2022,"19,10%"
SANTA RITA-PB,01/06/2022,"16,00%"
RESENDE-RJ,01/06/2022,"59,10%"
ARAUCARIA-PR,01/06/2022,"65,40%"
ARARAS-SP,01/06/2022,"57,00%"
CRATO-CE,01/06/2022,"29,90%"
PINHAIS-PR,01/06/2022,"92,90%"
CACHOEIRINHA-RS,01/06/2022,"76,40%"
SABARA-MG,01/06/2022,"46,20%"
SANTA CRUZ DO SUL-RS,01/06/2022,"45,50%"
CONSELHEIRO LAFAIETE-MG,01/06/2022,"71,90%"
SIMOES FILHO-BA,01/06/2022,"21,80%"
CAMETA-PA,01/06/2022,"5,20%"
BAGE-RS,01/06/2022,"33,10%"
TOLEDO-PR,01/06/2022,"50,00%"
FRANCO DA ROCHA-SP,01/06/2022,"61,20%"
CATANDUVA-SP,01/06/2022,"75,40%"
VARZEA PAULISTA-SP,01/06/2022,"73,70%"
SANTANA DE PARNAIBA-SP,01/06/2022,"67,90%"
GUARATINGUETA-SP,01/06/2022,"77,50%"
ITAPIPOCA-CE,01/06/2022,"15,40%"
BARRETOS-SP,01/06/2022,"80,90%"
MARITUBA-PA,01/06/2022,"24,10%"
SERTAOZINHO-SP,01/06/2022,"53,50%"
BAYEUX-PB,01/06/2022,"30,90%"
SINOP-MT,01/06/2022,"77,70%"
VOTORANTIM-SP,01/06/2022,"79,90%"
CODO-MA,01/06/2022,"8,60%"
ITAGUAI-RJ,01/06/2022,"31,30%"
JI PARANA-RO,01/06/2022,"47,10%"
MARANGUAPE-CE,01/06/2022,"15,30%"
ITABIRA-MG,01/06/2022,"37,70%"
BIRIGUI-SP,01/06/2022,"53,20%"
ARARUAMA-RJ,01/06/2022,"49,20%"
BRAGANCA-PA,01/06/2022,"10,70%"
CAMPO LARGO-PR,01/06/2022,"60,30%"
PACO DO LUMIAR-MA,01/06/2022,"26,30%"
ARAGUARI-MG,01/06/2022,"48,60%"
SALTO-SP,01/06/2022,"68,20%"
VESPASIANO-MG,01/06/2022,"59,40%"
SAO MATEUS-ES,01/06/2022,"31,70%"
PASSOS-MG,01/06/2022,"43,30%"
VALINHOS-SP,01/06/2022,"82,40%"
TATUI-SP,01/06/2022,"76,70%"
ALMIRANTE TAMANDARE-PR,01/06/2022,"50,70%"
RIO DAS OSTRAS-RJ,01/06/2022,"66,40%"
CORONEL FABRICIANO-MG,01/06/2022,"41,20%"
BRUSQUE-SC,01/06/2022,"29,20%"
COLATINA-ES,01/06/2022,"28,00%"
BENTO GONCALVES-RS,01/06/2022,"76,70%"
TRINDADE-GO,01/06/2022,"51,00%"
RIBEIRAO PIRES-SP,01/06/2022,"59,60%"
ARAPONGAS-PR,01/06/2022,"82,50%"
PAULO AFONSO-BA,01/06/2022,"41,20%"
POA-SP,01/06/2022,"94,90%"
GUARAPARI-ES,01/06/2022,"77,00%"
CARAGUATATUBA-SP,01/06/2022,"77,10%"
OURINHOS-SP,01/06/2022,"55,50%"
BALNEARIO CAMBORIU-SC,01/06/2022,"96,50%"
SANTANA-AP,01/06/2022,"10,40%"
ITATIBA-SP,01/06/2022,"53,50%"
BARCARENA-PA,01/06/2022,"8,50%"
UMUARAMA-PR,01/06/2022,"53,90%"
PATOS-PB,01/06/2022,"39,50%"
MURIAE-MG,01/06/2022,"52,50%"
IGARASSU-PE,01/06/2022,"30,90%"
UBA-MG,01/06/2022,"62,20%"
NOVO GAMA-GO,01/06/2022,"33,50%"
ACAILANDIA-MA,01/06/2022,"9,30%"
TRES LAGOAS-MS,01/06/2022,"48,50%"
EUNAPOLIS-BA,01/06/2022,"32,50%"
FORMOSA-GO,01/06/2022,"46,30%"
CORUMBA-MS,01/06/2022,"39,10%"
SAO LOURENCO DA MATA-PE,01/06/2022,"23,60%"
JAPERI-RJ,01/06/2022,"14,20%"
TUBARAO-SC,01/06/2022,"65,60%"
CAMBE-PR,01/06/2022,"63,10%"
ABREU E LIMA-PE,01/06/2022,"31,90%"
GUAIBA-RS,01/06/2022,"22,50%"
BACABAL-MA,01/06/2022,"27,40%"
ERECHIM-RS,01/06/2022,"36,00%"
PARINTINS-AM,01/06/2022,"3,90%"
ITUIUTABA-MG,01/06/2022,"51,60%"
JANDIRA-SP,01/06/2022,"68,30%"
ASSIS-SP,01/06/2022,"72,90%"
TUCURUI-PA,01/06/2022,"6,40%"
CAIEIRAS-SP,01/06/2022,"62,20%"
ARAXA-MG,01/06/2022,"44,30%"
LAVRAS-MG,01/06/2022,"39,10%"
BARRA DO PIRAI-RJ,01/06/2022,"9,60%"
IGUATU-CE,01/06/2022,"26,40%"
SANTA CRUZ DO CAPIBARIBE-PE,01/06/2022,"7,30%"
ITAPERUNA-RJ,01/06/2022,"74,90%"
ALTAMIRA-PA,01/06/2022,"32,30%"
LEME-SP,01/06/2022,"46,60%"
LAGARTO-SE,01/06/2022,"14,30%"
ITUMBIARA-GO,01/06/2022,"50,90%"
PARAGOMINAS-PA,01/06/2022,"30,60%"
SANTO ANTONIO DE JESUS-BA,01/06/2022,"47,20%"
ITAJUBA-MG,01/06/2022,"43,90%"
ITAITUBA-PA,01/06/2022,"6,00%"
PIRAQUARA-PR,01/06/2022,"61,90%"
ITANHAEM-SP,01/06/2022,"75,50%"
SAO GONCALO DO AMARANTE-RN,01/06/2022,"31,00%"
ITAPEVA-SP,01/06/2022,"44,70%"
CAMPO MOURAO-PR,01/06/2022,"65,10%"
SARANDI-PR,01/06/2022,"81,50%"
SAO PEDRO DA ALDEIA-RJ,01/06/2022,"62,50%"
SENADOR CANEDO-GO,01/06/2022,"44,70%"
ITABAIANA-SE,01/06/2022,"16,80%"
ITAUNA-MG,01/06/2022,"34,30%"
CATALAO-GO,01/06/2022,"63,10%"
ARIQUEMES-RO,01/06/2022,"33,00%"
VOTUPORANGA-SP,01/06/2022,"43,50%"
CACAPAVA-SP,01/06/2022,"40,20%"
JATAI-GO,01/06/2022,"54,50%"
VALENCA-BA,01/06/2022,"12,00%"
MOGI MIRIM-SP,01/06/2022,"63,90%"
SAO JOAO DA BOA VISTA-SP,01/06/2022,"58,50%"
PAULINIA-SP,01/06/2022,"78,10%"
SAO JOAO DEL REI-MG,01/06/2022,"44,70%"
ITACOATIARA-AM,01/06/2022,"2,30%"
LORENA-SP,01/06/2022,"57,00%"
ESTEIO-RS,01/06/2022,"78,60%"
TIMOTEO-MG,01/06/2022,"49,60%"
FAZENDA RIO GRANDE-PR,01/06/2022,"73,80%"
PARA DE MINAS-MG,01/06/2022,"56,20%"
MAIRIPORA-SP,01/06/2022,"31,80%"
CANDEIAS-BA,01/06/2022,"28,80%"
BREVES-PA,01/06/2022,"1,80%"
TANGARA DA SERRA-MT,01/06/2022,"30,20%"
PARANAVAI-PR,01/06/2022,"67,10%"
CARATINGA-MG,01/06/2022,"28,80%"
AVARE-SP,01/06/2022,"39,60%"
CACERES-MT,01/06/2022,"22,10%"
PARACATU-MG,01/06/2022,"40,00%"
SANTANA DO LIVRAMENTO-RS,01/06/2022,"17,50%"
NOVA LIMA-MG,01/06/2022,"40,20%"
CACHOEIRA DO SUL-RS,01/06/2022,"12,10%"
UBATUBA-SP,01/06/2022,"66,70%"
SAO ROQUE-SP,01/06/2022,"65,70%"
ARACRUZ-ES,01/06/2022,"24,50%"
SAO CRISTOVAO-SE,01/06/2022,"30,50%"
PATROCINIO-MG,01/06/2022,"35,20%"
IPOJUCA-PE,01/06/2022,"17,90%"
SEROPEDICA-RJ,01/06/2022,"14,80%"
PLANALTINA-GO,01/06/2022,"34,40%"
CRUZEIRO-SP,01/06/2022,"34,10%"
IJUI-RS,01/06/2022,"26,00%"
TRES RIOS-RJ,01/06/2022,"17,10%"
BARRA DO CORDA-MA,01/06/2022,"3,70%"
MANHUACU-MG,01/06/2022,"29,40%"
MATAO-SP,01/06/2022,"32,10%"
ARUJA-SP,01/06/2022,"58,50%"
SERRA TALHADA-PE,01/06/2022,"16,40%"
GURUPI-TO,01/06/2022,"14,50%"
ARARIPINA-PE,01/06/2022,"8,80%"
FRANCISCO BELTRAO-PR,01/06/2022,"25,20%"
QUIXADA-CE,01/06/2022,"51,20%"
GUANAMBI-BA,01/06/2022,"55,80%"
SAPIRANGA-RS,01/06/2022,"37,00%"
SANTO ANGELO-RS,01/06/2022,"21,80%"
JACOBINA-BA,01/06/2022,"29,20%"
PINHEIRO-MA,01/06/2022,"1,90%"
CARPINA-PE,01/06/2022,"35,70%"
CAMPO LIMPO PAULISTA-SP,01/06/2022,"49,00%"
JOAO MONLEVADE-MG,01/06/2022,"60,20%"
CACOAL-RO,01/06/2022,"27,90%"
BEBEDOURO-SP,01/06/2022,"40,40%"
VILHENA-RO,01/06/2022,"15,70%"
GRAVATA-PE,01/06/2022,"29,20%"
PACATUBA-CE,01/06/2022,"46,40%"
SERRINHA-BA,01/06/2022,"46,10%"
CANINDE-CE,01/06/2022,"14,50%"
LAJEADO-RS,01/06/2022,"56,40%"
SAO BENTO DO SUL-SC,01/06/2022,"13,10%"
ALFENAS-MG,01/06/2022,"28,60%"
GOIANA-PE,01/06/2022,"9,70%"
ALEGRETE-RS,01/06/2022,"17,90%"
NOVA SERRANA-MG,01/06/2022,"32,40%"
PONTA PORA-MS,01/06/2022,"29,30%"
PATO BRANCO-PR,01/06/2022,"35,00%"
VICOSA-MG,01/06/2022,"76,70%"
CRUZEIRO DO SUL-AC,01/06/2022,"8,30%"
SAO SEBASTIAO-SP,01/06/2022,"39,10%"
TRES CORACOES-MG,01/06/2022,"24,90%"
SAQUAREMA-RJ,01/06/2022,"39,90%"
PICOS-PI,01/06/2022,"19,00%"
LINS-SP,01/06/2022,"42,60%"
JABOTICABAL-SP,01/06/2022,"37,50%"
CURVELO-MG,01/06/2022,"31,80%"
REDENCAO-PA,01/06/2022,"12,40%"
TELEMACO BORBA-PR,01/06/2022,"28,90%"
UNAI-MG,01/06/2022,"60,90%"
CACADOR-SC,01/06/2022,"33,40%"
BELO JARDIM-PE,01/06/2022,"7,80%"
SAO FELIX DO XINGU-PA,01/06/2022,"2,80%"
CATAGUASES-MG,01/06/2022,"45,90%"
PIRASSUNUNGA-SP,01/06/2022,"44,10%"
CRATEUS-CE,01/06/2022,"38,30%"
CALDAS NOVAS-GO,01/06/2022,"86,60%"
AQUIRAZ-CE,01/06/2022,"23,40%"
RIO LARGO-AL,01/06/2022,"27,80%"
IBIUNA-SP,01/06/2022,"29,40%"
VALENCA-RJ,01/06/2022,"7,00%"
PALMEIRA DOS INDIOS-AL,01/06/2022,"11,30%"
ARCOVERDE-PE,01/06/2022,"24,20%"
QUIXERAMOBIM-CE,01/06/2022,"11,80%"
CIANORTE-PR,01/06/2022,"51,90%"
OURO PRETO-MG,01/06/2022,"50,60%"
VIANA-ES,01/06/2022,"39,30%"
CAJAMAR-SP,01/06/2022,"32,70%"
CHAPADINHA-MA,01/06/2022,"6,50%"
ARACATI-CE,01/06/2022,"21,30%"
TIANGUA-CE,01/06/2022,"23,20%"
RUSSAS-CE,01/06/2022,"23,00%"
CONCORDIA-SC,01/06/2022,"17,70%"
DIAS DAVILA-BA,01/06/2022,"18,10%"
CASTRO-PR,01/06/2022,"17,70%"
CAMBORIU-SC,01/06/2022,"90,80%"
SANTA ROSA-RS,01/06/2022,"24,90%"
ITAPIRA-SP,01/06/2022,"34,10%"
MOCOCA-SP,01/06/2022,"23,90%"
CEARA MIRIM-RN,01/06/2022,"3,90%"
MACAIBA-RN,01/06/2022,"6,00%"
VINHEDO-SP,01/06/2022,"82,50%"
FERNANDOPOLIS-SP,01/06/2022,"44,90%"
SAO SEBASTIAO DO PARAISO-MG,01/06/2022,"14,60%"
AMPARO-SP,01/06/2022,"41,60%"
FORMIGA-MG,01/06/2022,"26,20%"
CASCAVEL-CE,01/06/2022,"33,50%"
EMBU GUACU-SP,01/06/2022,"46,50%"
SOUSA-PB,01/06/2022,"34,30%"
NAVEGANTES-SC,01/06/2022,"61,20%"
VENANCIO AIRES-RS,01/06/2022,"5,40%"
FARROUPILHA-RS,01/06/2022,"35,80%"
TUPA-SP,01/06/2022,"14,90%"
SORRISO-MT,01/06/2022,"36,50%"
ESTANCIA-SE,01/06/2022,"18,00%"
ICO-CE,01/06/2022,"9,20%"
CAICO-RN,01/06/2022,"28,30%"
CRUZ ALTA-RS,01/06/2022,"11,60%"
CAMAQUA-RS,01/06/2022,"11,70%"
LENCOIS PAULISTA-SP,01/06/2022,"12,90%"
CAPANEMA-PA,01/06/2022,"14,30%"
SANTO ANTONIO DO DESCOBERTO-GO,01/06/2022,"15,70%"
OURICURI-PE,01/06/2022,"5,70%"
ESCADA-PE,01/06/2022,"7,70%"
ITAMARAJU-BA,01/06/2022,"12,20%"
BRUMADO-BA,01/06/2022,"8,80%"
PACAJUS-CE,01/06/2022,"21,80%"
PESQUEIRA-PE,01/06/2022,"2,70%"
VACARIA-RS,01/06/2022,"7,30%"
CONCEICAO DO COITE-BA,01/06/2022,"43,10%"
SAO BORJA-RS,01/06/2022,"8,70%"
RIO DO SUL-SC,01/06/2022,"23,10%"
CRUZ DAS ALMAS-BA,01/06/2022,"48,00%"
ARARANGUA-SC,01/06/2022,"49,30%"
JANUARIA-MG,01/06/2022,"18,60%"
CARAZINHO-RS,01/06/2022,"26,50%"
ITABERABA-BA,01/06/2022,"30,70%"
COSMOPOLIS-SP,01/06/2022,"42,90%"
PENAPOLIS-SP,01/06/2022,"29,30%"
GOIANESIA-GO,01/06/2022,"29,70%"
MORADA NOVA-CE,01/06/2022,"6,90%"
CAMPO BOM-RS,01/06/2022,"58,00%"
PENEDO-AL,01/06/2022,"12,90%"
CAMOCIM-CE,01/06/2022,"17,80%"
BOM JESUS DA LAPA-BA,01/06/2022,"8,30%"
PEDRO LEOPOLDO-MG,01/06/2022,"26,50%"
ROLANDIA-PR,01/06/2022,"29,20%"
BIGUACU-SC,01/06/2022,"53,80%"
UNIAO DOS PALMARES-AL,01/06/2022,"4,90%"
BEZERROS-PE,01/06/2022,"8,70%"
LUIS EDUARDO MAGALHAES-BA,01/06/2022,"36,00%"
PERUIBE-SP,01/06/2022,"74,20%"
MONTENEGRO-RS,01/06/2022,"43,10%"
PALMARES-PE,01/06/2022,"7,90%"
SURUBIM-PE,01/06/2022,"10,30%"
CIDADE OCIDENTAL-GO,01/06/2022,"37,50%"
GASPAR-SC,01/06/2022,"17,10%"
ICARA-SC,01/06/2022,"26,60%"
BATATAIS-SP,01/06/2022,"13,70%"
GRAJAU-MA,01/06/2022,"3,80%"
PONTE NOVA-MG,01/06/2022,"32,30%"
SANTO AMARO-BA,01/06/2022,"8,30%"
HORIZONTE-CE,01/06/2022,"23,80%"
ACARAU-CE,01/06/2022,"2,20%"
MORENO-PE,01/06/2022,"9,90%"
UNIAO DA VITORIA-PR,01/06/2022,"25,60%"
SANTA IZABEL DO PARA-PA,01/06/2022,"4,50%"
LIMOEIRO DO NORTE-CE,01/06/2022,"14,30%"
ANDRADINA-SP,01/06/2022,"33,60%"
BARRA DO GARCAS-MT,01/06/2022,"47,80%"
GUARABIRA-PB,01/06/2022,"14,00%"
MIRASSOL-SP,01/06/2022,"29,20%"
INDAIAL-SC,01/06/2022,"46,70%"
SALGUEIRO-PE,01/06/2022,"16,60%"
TRES PONTAS-MG,01/06/2022,"5,00%"
SAO MIGUEL DOS CAMPOS-AL,01/06/2022,"5,80%"
IRATI-PR,01/06/2022,"12,00%"
RIO BONITO-RJ,01/06/2022,"28,20%"
BARBALHA-CE,01/06/2022,"20,70%"
IBITINGA-SP,01/06/2022,"24,10%"
LAGOA SANTA-MG,01/06/2022,"67,10%"
TAQUARA-RS,01/06/2022,"27,00%"
PIRAPORA-MG,01/06/2022,"25,60%"
TAUA-CE,01/06/2022,"8,70%"
LIMOEIRO-PE,01/06/2022,"9,70%"
CABEDELO-PB,01/06/2022,"40,50%"
REGISTRO-SP,01/06/2022,"19,40%"
TIMBAUBA-PE,01/06/2022,"3,00%"
TAQUARITINGA-SP,01/06/2022,"14,50%"
CACHOEIRAS DE MACACU-RJ,01/06/2022,"3,90%"
CANOINHAS-SC,01/06/2022,"19,40%"
MARIANA-MG,01/06/2022,"36,90%"
PORTO FERREIRA-SP,01/06/2022,"22,00%"
FRUTAL-MG,01/06/2022,"16,10%"
GUAPIMIRIM-RJ,01/06/2022,"31,20%"
SAO BENTO DO UNA-PE,01/06/2022,"2,90%"
CAMPO BELO-MG,01/06/2022,"37,40%"
SAO PAULO-SP,01/07/2022,"78,20%"
RIO DE JANEIRO-RJ,01/07/2022,"72,20%"
SALVADOR-BA,01/07/2022,"50,80%"
BRASILIA-DF,01/07/2022,"55,40%"
FORTALEZA-CE,01/07/2022,"64,30%"
BELO HORIZONTE-MG,01/07/2022,"85,90%"
