Cidade,Uf,mes/ano,churn
SANTOS,SP,01/06/2022,"6,12%"
SAO JOSE DO RIO PRETO,SP,01/06/2022,"7,70%"
PORTO VELHO,RO,01/06/2022,"10,52%"
SERRA,ES,01/06/2022,"11,57%"
DIADEMA,SP,01/06/2022,"10,14%"
OLINDA,PE,01/06/2022,"14,51%"
MACAPA,AP,01/06/2022,"8,48%"
BETIM,MG,01/06/2022,"9,19%"
CAMPINA GRANDE,PB,01/06/2022,"9,66%"
MOGI DAS CRUZES,SP,01/06/2022,"7,32%"
CARAPICUIBA,SP,01/06/2022,"8,13%"
PIRACICABA,SP,01/06/2022,"6,64%"
MONTES CLAROS,MG,01/06/2022,"12,29%"
JUNDIAI,SP,01/06/2022,"5,31%"
MARINGA,PR,01/06/2022,"5,03%"
CARIACICA,ES,01/06/2022,"11,51%"
BAURU,SP,01/06/2022,"9,07%"
ANAPOLIS,GO,01/06/2022,"10,29%"
RIO BRANCO,AC,01/06/2022,"10,04%"
CANOAS,RS,01/06/2022,"7,93%"
SAO VICENTE,SP,01/06/2022,"10,06%"
VITORIA,ES,01/06/2022,"7,18%"
PELOTAS,RS,01/06/2022,"8,76%"
FRANCA,SP,01/06/2022,"10,08%"
ITAQUAQUECETUBA,SP,01/06/2022,"15,09%"
BLUMENAU,SC,01/06/2022,"5,97%"
PONTA GROSSA,PR,01/06/2022,"9,16%"
CARUARU,PE,01/06/2022,"10,18%"
CAUCAIA,CE,01/06/2022,"12,69%"
RIBEIRAO DAS NEVES,MG,01/06/2022,"9,47%"
VITORIA DA CONQUISTA,BA,01/06/2022,"35,11%"
PAULISTA,PE,01/06/2022,"11,18%"
PETROPOLIS,RJ,01/06/2022,"7,49%"
GUARUJA,SP,01/06/2022,"9,36%"
UBERABA,MG,01/06/2022,"7,70%"
PETROLINA,PE,01/06/2022,"7,78%"
BOA VISTA,RR,01/06/2022,"10,62%"
TAUBATE,SP,01/06/2022,"6,03%"
CASCAVEL,PR,01/06/2022,"7,40%"
SANTAREM,PA,01/06/2022,"8,79%"
LIMEIRA,SP,01/06/2022,"6,65%"
SUZANO,SP,01/06/2022,"8,04%"
SAO JOSE DOS PINHAIS,PR,01/06/2022,"7,90%"
PRAIA GRANDE,SP,01/06/2022,"11,13%"
GOVERNADOR VALADARES,MG,01/06/2022,"7,97%"
VOLTA REDONDA,RJ,01/06/2022,"11,14%"
GRAVATAI,RS,01/06/2022,"12,42%"
MOSSORO,RN,01/06/2022,"9,43%"
SANTA MARIA,RS,01/06/2022,"8,94%"
FOZ DO IGUACU,PR,01/06/2022,"5,84%"
VARZEA GRANDE,MT,01/06/2022,"12,69%"
NOVO HAMBURGO,RS,01/06/2022,"7,32%"
IMPERATRIZ,MA,01/06/2022,"8,70%"
JUAZEIRO DO NORTE,CE,01/06/2022,"8,54%"
SUMARE,SP,01/06/2022,"9,17%"
BARUERI,SP,01/06/2022,"8,45%"
IPATINGA,MG,01/06/2022,"10,63%"
CAMACARI,BA,01/06/2022,"10,81%"
VIAMAO,RS,01/06/2022,"14,04%"
EMBU DAS ARTES,SP,01/06/2022,"12,74%"
ITABORAI,RJ,01/06/2022,"16,04%"
TABOAO DA SERRA,SP,01/06/2022,"10,93%"
MAGE,RJ,01/06/2022,"15,84%"
MARABA,PA,01/06/2022,"7,51%"
PALMAS,TO,01/06/2022,"10,17%"
SAO CARLOS,SP,01/06/2022,"8,41%"
COLOMBO,PR,01/06/2022,"9,72%"
ARAPIRACA,AL,01/06/2022,"13,37%"
MARILIA,SP,01/06/2022,"6,03%"
SETE LAGOAS,MG,01/06/2022,"10,06%"
SAO LEOPOLDO,RS,01/06/2022,"9,51%"
DIVINOPOLIS,MG,01/06/2022,"9,32%"
MARACANAU,CE,01/06/2022,"19,76%"
AMERICANA,SP,01/06/2022,"6,79%"
JACAREI,SP,01/06/2022,"7,87%"
ITAPEVI,SP,01/06/2022,"12,19%"
PARNAMIRIM,RN,01/06/2022,"10,47%"
PRESIDENTE PRUDENTE,SP,01/06/2022,"6,05%"
ARARAQUARA,SP,01/06/2022,"9,12%"
MACAE,RJ,01/06/2022,"9,73%"
ITABUNA,BA,01/06/2022,"8,93%"
SAO JOSE,SC,01/06/2022,"7,78%"
SANTA LUZIA,MG,01/06/2022,"13,50%"
INDAIATUBA,SP,01/06/2022,"6,14%"
ALVORADA,RS,01/06/2022,"13,64%"
COTIA,SP,01/06/2022,"8,11%"
JUAZEIRO,BA,01/06/2022,"10,75%"
HORTOLANDIA,SP,01/06/2022,"11,44%"
RIO GRANDE,RS,01/06/2022,"9,98%"
DOURADOS,MS,01/06/2022,"10,86%"
CRICIUMA,SC,01/06/2022,"6,67%"
RONDONOPOLIS,MT,01/06/2022,"12,57%"
CACHOEIRO DE ITAPEMIRIM,ES,01/06/2022,"10,89%"
CABO FRIO,RJ,01/06/2022,"13,72%"
RIO CLARO,SP,01/06/2022,"5,35%"
SOBRAL,CE,01/06/2022,"13,62%"
SANTA BARBARA DOESTE,SP,01/06/2022,"7,44%"
PASSO FUNDO,RS,01/06/2022,"13,03%"
ARACATUBA,SP,01/06/2022,"8,96%"
CHAPECO,SC,01/06/2022,"7,46%"
ITAJAI,SC,01/06/2022,"14,35%"
ILHEUS,BA,01/06/2022,"13,55%"
CABO DE SANTO AGOSTINHO,PE,01/06/2022,"13,37%"
MESQUITA,RJ,01/06/2022,"14,59%"
FERRAZ DE VASCONCELOS,SP,01/06/2022,"18,77%"
NOVA FRIBURGO,RJ,01/06/2022,"11,07%"
BARRA MANSA,RJ,01/06/2022,"11,04%"
LAURO DE FREITAS,BA,01/06/2022,"11,47%"
CASTANHAL,PA,01/06/2022,"13,18%"
RIO VERDE,GO,01/06/2022,"7,37%"
IBIRITE,MG,01/06/2022,"9,82%"
ANGRA DOS REIS,RJ,01/06/2022,"10,80%"
LUZIANIA,GO,01/06/2022,"9,43%"
GUARAPUAVA,PR,01/06/2022,"4,44%"
FRANCISCO MORATO,SP,01/06/2022,"12,20%"
NOSSA SENHORA DO SOCORRO,SE,01/06/2022,"31,37%"
AGUAS LINDAS DE GOIAS,GO,01/06/2022,"14,46%"
CAMARAGIBE,PE,01/06/2022,"9,94%"
TERESOPOLIS,RJ,01/06/2022,"5,96%"
LAGES,SC,01/06/2022,"8,18%"
ITU,SP,01/06/2022,"6,44%"
PARAUAPEBAS,PA,01/06/2022,"9,35%"
POCOS DE CALDAS,MG,01/06/2022,"6,59%"
TIMON,MA,01/06/2022,"15,00%"
NILOPOLIS,RJ,01/06/2022,"13,15%"
JEQUIE,BA,01/06/2022,"9,47%"
CAXIAS,MA,01/06/2022,"21,62%"
SAO JOSE DE RIBAMAR,MA,01/06/2022,"15,97%"
PINDAMONHANGABA,SP,01/06/2022,"9,39%"
BRAGANCA PAULISTA,SP,01/06/2022,"7,74%"
PARNAIBA,PI,01/06/2022,"19,26%"
SAO CAETANO DO SUL,SP,01/06/2022,"5,40%"
QUEIMADOS,RJ,01/06/2022,"11,48%"
ITAPETININGA,SP,01/06/2022,"7,64%"
PARANAGUA,PR,01/06/2022,"7,95%"
JARAGUA DO SUL,SC,01/06/2022,"8,23%"
LINHARES,ES,01/06/2022,"9,23%"
PALHOCA,SC,01/06/2022,"8,20%"
TEIXEIRA DE FREITAS,BA,01/06/2022,"7,55%"
VALPARAISO DE GOIAS,GO,01/06/2022,"11,45%"
PATOS DE MINAS,MG,01/06/2022,"9,63%"
ALAGOINHAS,BA,01/06/2022,"18,58%"
MOGI GUACU,SP,01/06/2022,"4,68%"
ITAPECERICA DA SERRA,SP,01/06/2022,"12,61%"
ABAETETUBA,PA,01/06/2022,"11,43%"
ARAGUAINA,TO,01/06/2022,"14,29%"
TEOFILO OTONI,MG,01/06/2022,"8,10%"
SAPUCAIA DO SUL,RS,01/06/2022,"8,33%"
JAU,SP,01/06/2022,"7,65%"
BARREIRAS,BA,01/06/2022,"10,73%"
POUSO ALEGRE,MG,01/06/2022,"8,97%"
VITORIA DE SANTO ANTAO,PE,01/06/2022,"12,42%"
MARICA,RJ,01/06/2022,"9,57%"
BOTUCATU,SP,01/06/2022,"8,70%"
BARBACENA,MG,01/06/2022,"24,11%"
GARANHUNS,PE,01/06/2022,"6,20%"
ATIBAIA,SP,01/06/2022,"7,00%"
PORTO SEGURO,BA,01/06/2022,"13,47%"
VARGINHA,MG,01/06/2022,"6,69%"
URUGUAIANA,RS,01/06/2022,"12,20%"
APUCARANA,PR,01/06/2022,"8,26%"
CUBATAO,SP,01/06/2022,"10,22%"
SANTA RITA,PB,01/06/2022,"11,34%"
RESENDE,RJ,01/06/2022,"6,58%"
ARAUCARIA,PR,01/06/2022,"6,10%"
ARARAS,SP,01/06/2022,"6,81%"
CRATO,CE,01/06/2022,"11,05%"
PINHAIS,PR,01/06/2022,"10,61%"
CACHOEIRINHA,RS,01/06/2022,"7,97%"
SABARA,MG,01/06/2022,"11,71%"
SANTA CRUZ DO SUL,RS,01/06/2022,"9,38%"
CONSELHEIRO LAFAIETE,MG,01/06/2022,"12,18%"
SIMOES FILHO,BA,01/06/2022,"15,74%"
CAMETA,PA,01/06/2022,"17,14%"
BAGE,RS,01/06/2022,"6,52%"
TOLEDO,PR,01/06/2022,"6,88%"
FRANCO DA ROCHA,SP,01/06/2022,"8,28%"
CATANDUVA,SP,01/06/2022,"9,09%"
VARZEA PAULISTA,SP,01/06/2022,"9,17%"
SANTANA DE PARNAIBA,SP,01/06/2022,"9,77%"
GUARATINGUETA,SP,01/06/2022,"10,26%"
ITAPIPOCA,CE,01/06/2022,"23,81%"
BARRETOS,SP,01/06/2022,"6,76%"
MARITUBA,PA,01/06/2022,"19,30%"
SERTAOZINHO,SP,01/06/2022,"12,39%"
BAYEUX,PB,01/06/2022,"17,54%"
SINOP,MT,01/06/2022,"6,20%"
VOTORANTIM,SP,01/06/2022,"7,59%"
CODO,MA,01/06/2022,"0,00%"
ITAGUAI,RJ,01/06/2022,"8,29%"
JI PARANA,RO,01/06/2022,"9,70%"
MARANGUAPE,CE,01/06/2022,"2,56%"
ITABIRA,MG,01/06/2022,"11,11%"
BIRIGUI,SP,01/06/2022,"10,43%"
ARARUAMA,RJ,01/06/2022,"11,55%"
BRAGANCA,PA,01/06/2022,"10,87%"
CAMPO LARGO,PR,01/06/2022,"8,20%"
PACO DO LUMIAR,MA,01/06/2022,"23,94%"
ARAGUARI,MG,01/06/2022,"5,15%"
SALTO,SP,01/06/2022,"8,14%"
VESPASIANO,MG,01/06/2022,"8,11%"
SAO MATEUS,ES,01/06/2022,"11,49%"
PASSOS,MG,01/06/2022,"8,23%"
VALINHOS,SP,01/06/2022,"4,02%"
TATUI,SP,01/06/2022,"5,59%"
ALMIRANTE TAMANDARE,PR,01/06/2022,"9,09%"
RIO DAS OSTRAS,RJ,01/06/2022,"11,83%"
CORONEL FABRICIANO,MG,01/06/2022,"9,24%"
BRUSQUE,SC,01/06/2022,"3,92%"
COLATINA,ES,01/06/2022,"13,60%"
BENTO GONCALVES,RS,01/06/2022,"4,62%"
TRINDADE,GO,01/06/2022,"10,85%"
RIBEIRAO PIRES,SP,01/06/2022,"10,05%"
ARAPONGAS,PR,01/06/2022,"6,23%"
PAULO AFONSO,BA,01/06/2022,"14,40%"
POA,SP,01/06/2022,"9,73%"
GUARAPARI,ES,01/06/2022,"8,28%"
CARAGUATATUBA,SP,01/06/2022,"11,76%"
OURINHOS,SP,01/06/2022,"5,96%"
BALNEARIO CAMBORIU,SC,01/06/2022,"6,43%"
SANTANA,AP,01/06/2022,"22,73%"
ITATIBA,SP,01/06/2022,"6,45%"
BARCARENA,PA,01/06/2022,"12,90%"
UMUARAMA,PR,01/06/2022,"14,38%"
PATOS,PB,01/06/2022,"7,44%"
MURIAE,MG,01/06/2022,"5,99%"
IGARASSU,PE,01/06/2022,"10,11%"
UBA,MG,01/06/2022,"12,23%"
NOVO GAMA,GO,01/06/2022,"7,84%"
ACAILANDIA,MA,01/06/2022,"14,04%"
TRES LAGOAS,MS,01/06/2022,"14,07%"
EUNAPOLIS,BA,01/06/2022,"16,98%"
FORMOSA,GO,01/06/2022,"10,06%"
CORUMBA,MS,01/06/2022,"11,04%"
SAO LOURENCO DA MATA,PE,01/06/2022,"16,25%"
JAPERI,RJ,01/06/2022,"17,46%"
TUBARAO,SC,01/06/2022,"3,72%"
CAMBE,PR,01/06/2022,"9,20%"
ABREU E LIMA,PE,01/06/2022,"11,39%"
GUAIBA,RS,01/06/2022,"16,19%"
BACABAL,MA,01/06/2022,"9,21%"
ERECHIM,RS,01/06/2022,"12,03%"
PARINTINS,AM,01/06/2022,"11,11%"
ITUIUTABA,MG,01/06/2022,"11,34%"
JANDIRA,SP,01/06/2022,"22,92%"
ASSIS,SP,01/06/2022,"9,38%"
TUCURUI,PA,01/06/2022,"10,00%"
CAIEIRAS,SP,01/06/2022,"7,36%"
ARAXA,MG,01/06/2022,"11,11%"
LAVRAS,MG,01/06/2022,"9,57%"
BARRA DO PIRAI,RJ,01/06/2022,"30,77%"
IGUATU,CE,01/06/2022,"11,38%"
SANTA CRUZ DO CAPIBARIBE,PE,01/06/2022,"17,46%"
ITAPERUNA,RJ,01/06/2022,"7,10%"
ALTAMIRA,PA,01/06/2022,"12,35%"
LEME,SP,01/06/2022,"8,99%"
LAGARTO,SE,01/06/2022,"70,59%"
ITUMBIARA,GO,01/06/2022,"13,79%"
PARAGOMINAS,PA,01/06/2022,"6,60%"
SANTO ANTONIO DE JESUS,BA,01/06/2022,"17,43%"
ITAJUBA,MG,01/06/2022,"8,81%"
ITAITUBA,PA,01/06/2022,"6,45%"
PIRAQUARA,PR,01/06/2022,"12,03%"
ITANHAEM,SP,01/06/2022,"8,53%"
SAO GONCALO DO AMARANTE,RN,01/06/2022,"19,18%"
ITAPEVA,SP,01/06/2022,"9,40%"
CAMPO MOURAO,PR,01/06/2022,"9,00%"
SARANDI,PR,01/06/2022,"8,33%"
SAO PEDRO DA ALDEIA,RJ,01/06/2022,"15,28%"
SENADOR CANEDO,GO,01/06/2022,"10,50%"
ITABAIANA,SE,01/06/2022,"52,00%"
ITAUNA,MG,01/06/2022,"6,84%"
CATALAO,GO,01/06/2022,"5,97%"
ARIQUEMES,RO,01/06/2022,"10,09%"
VOTUPORANGA,SP,01/06/2022,"6,52%"
CACAPAVA,SP,01/06/2022,"8,60%"
JATAI,GO,01/06/2022,"9,15%"
VALENCA,BA,01/06/2022,"7,69%"
MOGI MIRIM,SP,01/06/2022,"8,57%"
SAO JOAO DA BOA VISTA,SP,01/06/2022,"6,81%"
PAULINIA,SP,01/06/2022,"7,80%"
SAO JOAO DEL REI,MG,01/06/2022,"8,82%"
ITACOATIARA,AM,01/06/2022,"0,00%"
LORENA,SP,01/06/2022,"13,36%"
ESTEIO,RS,01/06/2022,"12,09%"
TIMOTEO,MG,01/06/2022,"7,64%"
FAZENDA RIO GRANDE,PR,01/06/2022,"11,83%"
PARA DE MINAS,MG,01/06/2022,"4,51%"
MAIRIPORA,SP,01/06/2022,"6,29%"
CANDEIAS,BA,01/06/2022,"31,91%"
BREVES,PA,01/06/2022,"18,18%"
TANGARA DA SERRA,MT,01/06/2022,"9,09%"
PARANAVAI,PR,01/06/2022,"6,17%"
CARATINGA,MG,01/06/2022,"13,29%"
AVARE,SP,01/06/2022,"4,97%"
CACERES,MT,01/06/2022,"21,21%"
PARACATU,MG,01/06/2022,"7,48%"
SANTANA DO LIVRAMENTO,RS,01/06/2022,"10,61%"
NOVA LIMA,MG,01/06/2022,"8,05%"
CACHOEIRA DO SUL,RS,01/06/2022,"0,00%"
UBATUBA,SP,01/06/2022,"9,75%"
SAO ROQUE,SP,01/06/2022,"18,99%"
ARACRUZ,ES,01/06/2022,"13,00%"
SAO CRISTOVAO,SE,01/06/2022,"28,09%"
PATROCINIO,MG,01/06/2022,"9,24%"
IPOJUCA,PE,01/06/2022,"16,67%"
SEROPEDICA,RJ,01/06/2022,"7,89%"
PLANALTINA,GO,01/06/2022,"8,74%"
CRUZEIRO,SP,01/06/2022,"10,85%"
IJUI,RS,01/06/2022,"8,74%"
TRES RIOS,RJ,01/06/2022,"9,78%"
BARRA DO CORDA,MA,01/06/2022,"9,09%"
MANHUACU,MG,01/06/2022,"12,15%"
MATAO,SP,01/06/2022,"8,09%"
ARUJA,SP,01/06/2022,"5,79%"
SERRA TALHADA,PE,01/06/2022,"17,19%"
GURUPI,TO,01/06/2022,"17,24%"
ARARIPINA,PE,01/06/2022,"15,79%"
FRANCISCO BELTRAO,PR,01/06/2022,"10,89%"
QUIXADA,CE,01/06/2022,"8,67%"
GUANAMBI,BA,01/06/2022,"15,44%"
SAPIRANGA,RS,01/06/2022,"9,52%"
SANTO ANGELO,RS,01/06/2022,"10,14%"
JACOBINA,BA,01/06/2022,"6,00%"
PINHEIRO,MA,01/06/2022,"0,00%"
CARPINA,PE,01/06/2022,"27,50%"
CAMPO LIMPO PAULISTA,SP,01/06/2022,"11,83%"
JOAO MONLEVADE,MG,01/06/2022,"12,18%"
CACOAL,RO,01/06/2022,"24,36%"
BEBEDOURO,SP,01/06/2022,"5,97%"
VILHENA,RO,01/06/2022,"18,42%"
GRAVATA,PE,01/06/2022,"15,79%"
PACATUBA,CE,01/06/2022,"21,21%"
SERRINHA,BA,01/06/2022,"14,67%"
CANINDE,CE,01/06/2022,"12,50%"
LAJEADO,RS,01/06/2022,"6,30%"
SAO BENTO DO SUL,SC,01/06/2022,"5,13%"
ALFENAS,MG,01/06/2022,"9,32%"
GOIANA,PE,01/06/2022,"24,14%"
ALEGRETE,RS,01/06/2022,"11,11%"
NOVA SERRANA,MG,01/06/2022,"5,34%"
PONTA PORA,MS,01/06/2022,"10,84%"
PATO BRANCO,PR,01/06/2022,"14,12%"
VICOSA,MG,01/06/2022,"9,22%"
CRUZEIRO DO SUL,AC,01/06/2022,"17,95%"
SAO SEBASTIAO,SP,01/06/2022,"10,73%"
TRES CORACOES,MG,01/06/2022,"12,94%"
SAQUAREMA,RJ,01/06/2022,"8,95%"
PICOS,PI,01/06/2022,"18,75%"
LINS,SP,01/06/2022,"9,55%"
JABOTICABAL,SP,01/06/2022,"3,97%"
CURVELO,MG,01/06/2022,"32,46%"
REDENCAO,PA,01/06/2022,"17,24%"
TELEMACO BORBA,PR,01/06/2022,"14,81%"
UNAI,MG,01/06/2022,"8,53%"
CACADOR,SC,01/06/2022,"9,52%"
BELO JARDIM,PE,01/06/2022,"8,16%"
SAO FELIX DO XINGU,PA,01/06/2022,"6,67%"
CATAGUASES,MG,01/06/2022,"14,29%"
PIRASSUNUNGA,SP,01/06/2022,"12,42%"
CRATEUS,CE,01/06/2022,"5,05%"
CALDAS NOVAS,GO,01/06/2022,"8,75%"
AQUIRAZ,CE,01/06/2022,"12,00%"
RIO LARGO,AL,01/06/2022,"15,85%"
IBIUNA,SP,01/06/2022,"18,39%"
VALENCA,RJ,01/06/2022,"11,43%"
PALMEIRA DOS INDIOS,AL,01/06/2022,"19,05%"
ARCOVERDE,PE,01/06/2022,"6,25%"
QUIXERAMOBIM,CE,01/06/2022,"17,24%"
CIANORTE,PR,01/06/2022,"7,69%"
OURO PRETO,MG,01/06/2022,"8,33%"
VIANA,ES,01/06/2022,"9,80%"
CAJAMAR,SP,01/06/2022,"15,63%"
CHAPADINHA,MA,01/06/2022,"0,00%"
ARACATI,CE,01/06/2022,"8,82%"
TIANGUA,CE,01/06/2022,"7,69%"
RUSSAS,CE,01/06/2022,"6,00%"
CONCORDIA,SC,01/06/2022,"9,43%"
DIAS DAVILA,BA,01/06/2022,"13,51%"
CASTRO,PR,01/06/2022,"13,11%"
CAMBORIU,SC,01/06/2022,"11,35%"
SANTA ROSA,RS,01/06/2022,"7,32%"
ITAPIRA,SP,01/06/2022,"8,41%"
MOCOCA,SP,01/06/2022,"12,20%"
CEARA MIRIM,RN,01/06/2022,"31,25%"
MACAIBA,RN,01/06/2022,"90,00%"
VINHEDO,SP,01/06/2022,"4,85%"
FERNANDOPOLIS,SP,01/06/2022,"10,71%"
SAO SEBASTIAO DO PARAISO,MG,01/06/2022,"9,84%"
AMPARO,SP,01/06/2022,"5,41%"
FORMIGA,MG,01/06/2022,"13,16%"
CASCAVEL,CE,01/06/2022,"3,23%"
EMBU GUACU,SP,01/06/2022,"10,00%"
SOUSA,PB,01/06/2022,"11,34%"
NAVEGANTES,SC,01/06/2022,"7,11%"
VENANCIO AIRES,RS,01/06/2022,"28,57%"
FARROUPILHA,RS,01/06/2022,"5,31%"
TUPA,SP,01/06/2022,"6,45%"
SORRISO,MT,01/06/2022,"48,91%"
ESTANCIA,SE,01/06/2022,"9,72%"
ICO,CE,01/06/2022,"8,70%"
CAICO,RN,01/06/2022,"24,62%"
CRUZ ALTA,RS,01/06/2022,"28,21%"
CAMAQUA,RS,01/06/2022,"16,22%"
LENCOIS PAULISTA,SP,01/06/2022,"14,81%"
CAPANEMA,PA,01/06/2022,"3,33%"
SANTO ANTONIO DO DESCOBERTO,GO,01/06/2022,"12,73%"
OURICURI,PE,01/06/2022,"25,00%"
ESCADA,PE,01/06/2022,"9,52%"
ITAMARAJU,BA,01/06/2022,"7,89%"
BRUMADO,BA,01/06/2022,"21,21%"
PACAJUS,CE,01/06/2022,"5,00%"
PESQUEIRA,PE,01/06/2022,"0,00%"
VACARIA,RS,01/06/2022,"46,67%"
CONCEICAO DO COITE,BA,01/06/2022,"11,25%"
SAO BORJA,RS,01/06/2022,"0,00%"
RIO DO SUL,SC,01/06/2022,"3,77%"
CRUZ DAS ALMAS,BA,01/06/2022,"10,11%"
ARARANGUA,SC,01/06/2022,"9,90%"
JANUARIA,MG,01/06/2022,"13,85%"
CARAZINHO,RS,01/06/2022,"9,09%"
ITABERABA,BA,01/06/2022,"17,07%"
COSMOPOLIS,SP,01/06/2022,"9,52%"
PENAPOLIS,SP,01/06/2022,"6,98%"
GOIANESIA,GO,01/06/2022,"8,97%"
MORADA NOVA,CE,01/06/2022,"19,35%"
CAMPO BOM,RS,01/06/2022,"6,25%"
PENEDO,AL,01/06/2022,"12,90%"
CAMOCIM,CE,01/06/2022,"9,26%"
BOM JESUS DA LAPA,BA,01/06/2022,"38,46%"
PEDRO LEOPOLDO,MG,01/06/2022,"9,57%"
ROLANDIA,PR,01/06/2022,"11,96%"
BIGUACU,SC,01/06/2022,"4,64%"
UNIAO DOS PALMARES,AL,01/06/2022,"40,00%"
BEZERROS,PE,01/06/2022,"8,93%"
LUIS EDUARDO MAGALHAES,BA,01/06/2022,"7,30%"
PERUIBE,SP,01/06/2022,"8,54%"
MONTENEGRO,RS,01/06/2022,"2,20%"
PALMARES,PE,01/06/2022,"17,07%"
SURUBIM,PE,01/06/2022,"25,00%"
CIDADE OCIDENTAL,GO,01/06/2022,"8,11%"
GASPAR,SC,01/06/2022,"22,86%"
ICARA,SC,01/06/2022,"11,32%"
BATATAIS,SP,01/06/2022,"0,00%"
GRAJAU,MA,01/06/2022,"0,00%"
PONTE NOVA,MG,01/06/2022,"0,00%"
SANTO AMARO,BA,01/06/2022,"18,18%"
HORIZONTE,CE,01/06/2022,"11,43%"
ACARAU,CE,01/06/2022,"33,33%"
MORENO,PE,01/06/2022,"42,86%"
UNIAO DA VITORIA,PR,01/06/2022,"13,33%"
SANTA IZABEL DO PARA,PA,01/06/2022,"0,00%"
LIMOEIRO DO NORTE,CE,01/06/2022,"13,95%"
ANDRADINA,SP,01/06/2022,"8,11%"
BARRA DO GARCAS,MT,01/06/2022,"10,32%"
GUARABIRA,PB,01/06/2022,"44,29%"
MIRASSOL,SP,01/06/2022,"3,85%"
INDAIAL,SC,01/06/2022,"5,41%"
SALGUEIRO,PE,01/06/2022,"16,07%"
TRES PONTAS,MG,01/06/2022,"6,67%"
SAO MIGUEL DOS CAMPOS,AL,01/06/2022,"11,11%"
IRATI,PR,01/06/2022,"10,53%"
RIO BONITO,RJ,01/06/2022,"8,18%"
BARBALHA,CE,01/06/2022,"14,81%"
IBITINGA,SP,01/06/2022,"8,43%"
LAGOA SANTA,MG,01/06/2022,"4,47%"
TAQUARA,RS,01/06/2022,"6,00%"
PIRAPORA,MG,01/06/2022,"9,68%"
TAUA,CE,01/06/2022,"31,58%"
LIMOEIRO,PE,01/06/2022,"10,34%"
CABEDELO,PB,01/06/2022,"14,67%"
REGISTRO,SP,01/06/2022,"39,39%"
TIMBAUBA,PE,01/06/2022,"0,00%"
TAQUARITINGA,SP,01/06/2022,"7,32%"
CACHOEIRAS DE MACACU,RJ,01/06/2022,"23,53%"
CANOINHAS,SC,01/06/2022,"26,67%"
MARIANA,MG,01/06/2022,"7,00%"
PORTO FERREIRA,SP,01/06/2022,"18,31%"
FRUTAL,MG,01/06/2022,"3,39%"
GUAPIMIRIM,RJ,01/06/2022,"13,98%"
SAO BENTO DO UNA,PE,01/06/2022,"0,00%"
CAMPO BELO,MG,01/06/2022,"11,93%"
SAO PAULO,SP,01/07/2022,"8,17%"
RIO DE JANEIRO,RJ,01/07/2022,"9,23%"
SALVADOR,BA,01/07/2022,"10,23%"
BRASILIA,DF,01/07/2022,"7,49%"
FORTALEZA,CE,01/07/2022,"10,50%"
BELO HORIZONTE,MG,01/07/2022,"8,34%"
