Cidade,Uf,mes/ano,reativacao
MARINGA,PR,01/06/2022,"3,11%"
CARIACICA,ES,01/06/2022,"6,15%"
BAURU,SP,01/06/2022,"3,40%"
ANAPOLIS,GO,01/06/2022,"4,11%"
RIO BRANCO,AC,01/06/2022,"3,35%"
CANOAS,RS,01/06/2022,"4,50%"
SAO VICENTE,SP,01/06/2022,"6,04%"
VITORIA,ES,01/06/2022,"3,59%"
PELOTAS,RS,01/06/2022,"2,73%"
FRANCA,SP,01/06/2022,"3,27%"
ITAQUAQUECETUBA,SP,01/06/2022,"5,03%"
BLUMENAU,SC,01/06/2022,"2,73%"
PONTA GROSSA,PR,01/06/2022,"2,76%"
CARUARU,PE,01/06/2022,"3,54%"
CAUCAIA,CE,01/06/2022,"2,99%"
RIBEIRAO DAS NEVES,MG,01/06/2022,"5,68%"
VITORIA DA CONQUISTA,BA,01/06/2022,"3,74%"
PAULISTA,PE,01/06/2022,"4,62%"
PETROPOLIS,RJ,01/06/2022,"2,91%"
GUARUJA,SP,01/06/2022,"4,82%"
UBERABA,MG,01/06/2022,"3,28%"
PETROLINA,PE,01/06/2022,"3,43%"
BOA VISTA,RR,01/06/2022,"2,61%"
TAUBATE,SP,01/06/2022,"3,51%"
CASCAVEL,PR,01/06/2022,"1,35%"
SANTAREM,PA,01/06/2022,"5,45%"
LIMEIRA,SP,01/06/2022,"3,33%"
SUZANO,SP,01/06/2022,"3,19%"
SAO JOSE DOS PINHAIS,PR,01/06/2022,"3,00%"
PRAIA GRANDE,SP,01/06/2022,"4,71%"
GOVERNADOR VALADARES,MG,01/06/2022,"3,82%"
VOLTA REDONDA,RJ,01/06/2022,"2,86%"
GRAVATAI,RS,01/06/2022,"5,80%"
MOSSORO,RN,01/06/2022,"3,30%"
SANTA MARIA,RS,01/06/2022,"2,66%"
FOZ DO IGUACU,PR,01/06/2022,"2,50%"
VARZEA GRANDE,MT,01/06/2022,"4,48%"
NOVO HAMBURGO,RS,01/06/2022,"2,32%"
IMPERATRIZ,MA,01/06/2022,"4,35%"
JUAZEIRO DO NORTE,CE,01/06/2022,"2,85%"
SUMARE,SP,01/06/2022,"3,16%"
BARUERI,SP,01/06/2022,"2,64%"
IPATINGA,MG,01/06/2022,"1,87%"
CAMACARI,BA,01/06/2022,"4,66%"
VIAMAO,RS,01/06/2022,"2,05%"
EMBU DAS ARTES,SP,01/06/2022,"6,78%"
ITABORAI,RJ,01/06/2022,"5,60%"
TABOAO DA SERRA,SP,01/06/2022,"4,63%"
MAGE,RJ,01/06/2022,"4,98%"
MARABA,PA,01/06/2022,"4,35%"
PALMAS,TO,01/06/2022,"2,45%"
SAO CARLOS,SP,01/06/2022,"2,67%"
COLOMBO,PR,01/06/2022,"4,40%"
ARAPIRACA,AL,01/06/2022,"2,67%"
MARILIA,SP,01/06/2022,"2,63%"
SETE LAGOAS,MG,01/06/2022,"3,80%"
SAO LEOPOLDO,RS,01/06/2022,"3,85%"
DIVINOPOLIS,MG,01/06/2022,"2,38%"
MARACANAU,CE,01/06/2022,"3,63%"
AMERICANA,SP,01/06/2022,"3,17%"
JACAREI,SP,01/06/2022,"3,00%"
ITAPEVI,SP,01/06/2022,"5,19%"
PARNAMIRIM,RN,01/06/2022,"3,90%"
PRESIDENTE PRUDENTE,SP,01/06/2022,"3,99%"
ARARAQUARA,SP,01/06/2022,"2,82%"
MACAE,RJ,01/06/2022,"2,48%"
ITABUNA,BA,01/06/2022,"6,07%"
SAO JOSE,SC,01/06/2022,"3,49%"
SANTA LUZIA,MG,01/06/2022,"4,96%"
INDAIATUBA,SP,01/06/2022,"2,18%"
ALVORADA,RS,01/06/2022,"2,80%"
COTIA,SP,01/06/2022,"3,12%"
JUAZEIRO,BA,01/06/2022,"2,69%"
HORTOLANDIA,SP,01/06/2022,"4,55%"
RIO GRANDE,RS,01/06/2022,"3,16%"
DOURADOS,MS,01/06/2022,"3,99%"
CRICIUMA,SC,01/06/2022,"4,27%"
RONDONOPOLIS,MT,01/06/2022,"2,51%"
CACHOEIRO DE ITAPEMIRIM,ES,01/06/2022,"2,97%"
CABO FRIO,RJ,01/06/2022,"7,21%"
RIO CLARO,SP,01/06/2022,"2,06%"
SOBRAL,CE,01/06/2022,"4,69%"
SANTA BARBARA DOESTE,SP,01/06/2022,"2,73%"
PASSO FUNDO,RS,01/06/2022,"4,03%"
ARACATUBA,SP,01/06/2022,"2,99%"
CHAPECO,SC,01/06/2022,"2,37%"
ITAJAI,SC,01/06/2022,"2,03%"
ILHEUS,BA,01/06/2022,"1,83%"
CABO DE SANTO AGOSTINHO,PE,01/06/2022,"2,67%"
MESQUITA,RJ,01/06/2022,"7,30%"
FERRAZ DE VASCONCELOS,SP,01/06/2022,"5,83%"
NOVA FRIBURGO,RJ,01/06/2022,"3,05%"
BARRA MANSA,RJ,01/06/2022,"2,27%"
LAURO DE FREITAS,BA,01/06/2022,"4,70%"
CASTANHAL,PA,01/06/2022,"5,00%"
RIO VERDE,GO,01/06/2022,"5,90%"
IBIRITE,MG,01/06/2022,"6,18%"
ANGRA DOS REIS,RJ,01/06/2022,"6,40%"
LUZIANIA,GO,01/06/2022,"5,19%"
GUARAPUAVA,PR,01/06/2022,"2,42%"
FRANCISCO MORATO,SP,01/06/2022,"3,83%"
NOSSA SENHORA DO SOCORRO,SE,01/06/2022,"6,67%"
AGUAS LINDAS DE GOIAS,GO,01/06/2022,"3,72%"
CAMARAGIBE,PE,01/06/2022,"2,76%"
TERESOPOLIS,RJ,01/06/2022,"4,22%"
LAGES,SC,01/06/2022,"3,14%"
ITU,SP,01/06/2022,"1,19%"
PARAUAPEBAS,PA,01/06/2022,"2,52%"
POCOS DE CALDAS,MG,01/06/2022,"1,46%"
TIMON,MA,01/06/2022,"4,00%"
NILOPOLIS,RJ,01/06/2022,"6,45%"
JEQUIE,BA,01/06/2022,"2,37%"
CAXIAS,MA,01/06/2022,"1,80%"
SAO JOSE DE RIBAMAR,MA,01/06/2022,"2,08%"
PINDAMONHANGABA,SP,01/06/2022,"2,17%"
BRAGANCA PAULISTA,SP,01/06/2022,"2,65%"
PARNAIBA,PI,01/06/2022,"4,44%"
SAO CAETANO DO SUL,SP,01/06/2022,"2,93%"
QUEIMADOS,RJ,01/06/2022,"7,66%"
ITAPETININGA,SP,01/06/2022,"4,00%"
PARANAGUA,PR,01/06/2022,"1,67%"
JARAGUA DO SUL,SC,01/06/2022,"0,91%"
LINHARES,ES,01/06/2022,"4,10%"
PALHOCA,SC,01/06/2022,"2,73%"
TEIXEIRA DE FREITAS,BA,01/06/2022,"2,26%"
VALPARAISO DE GOIAS,GO,01/06/2022,"3,07%"
PATOS DE MINAS,MG,01/06/2022,"3,11%"
ALAGOINHAS,BA,01/06/2022,"2,65%"
MOGI GUACU,SP,01/06/2022,"3,03%"
ITAPECERICA DA SERRA,SP,01/06/2022,"4,05%"
ABAETETUBA,PA,01/06/2022,"2,86%"
ARAGUAINA,TO,01/06/2022,"0,89%"
TEOFILO OTONI,MG,01/06/2022,"3,33%"
SAPUCAIA DO SUL,RS,01/06/2022,"3,24%"
JAU,SP,01/06/2022,"2,45%"
BARREIRAS,BA,01/06/2022,"0,98%"
POUSO ALEGRE,MG,01/06/2022,"2,99%"
VITORIA DE SANTO ANTAO,PE,01/06/2022,"1,86%"
MARICA,RJ,01/06/2022,"6,09%"
BOTUCATU,SP,01/06/2022,"1,45%"
BARBACENA,MG,01/06/2022,"3,57%"
GARANHUNS,PE,01/06/2022,"4,55%"
ATIBAIA,SP,01/06/2022,"2,92%"
PORTO SEGURO,BA,01/06/2022,"6,40%"
VARGINHA,MG,01/06/2022,"2,55%"
URUGUAIANA,RS,01/06/2022,"3,25%"
APUCARANA,PR,01/06/2022,"1,24%"
CUBATAO,SP,01/06/2022,"5,84%"
SANTA RITA,PB,01/06/2022,"1,03%"
RESENDE,RJ,01/06/2022,"2,82%"
ARAUCARIA,PR,01/06/2022,"2,37%"
ARARAS,SP,01/06/2022,"3,10%"
CRATO,CE,01/06/2022,"1,74%"
PINHAIS,PR,01/06/2022,"4,82%"
CACHOEIRINHA,RS,01/06/2022,"2,99%"
SABARA,MG,01/06/2022,"5,41%"
SANTA CRUZ DO SUL,RS,01/06/2022,"3,13%"
CONSELHEIRO LAFAIETE,MG,01/06/2022,"5,08%"
SIMOES FILHO,BA,01/06/2022,"6,48%"
CAMETA,PA,01/06/2022,"0,00%"
BAGE,RS,01/06/2022,"2,90%"
TOLEDO,PR,01/06/2022,"1,62%"
FRANCO DA ROCHA,SP,01/06/2022,"2,98%"
CATANDUVA,SP,01/06/2022,"1,82%"
VARZEA PAULISTA,SP,01/06/2022,"3,85%"
SANTANA DE PARNAIBA,SP,01/06/2022,"2,93%"
GUARATINGUETA,SP,01/06/2022,"3,85%"
ITAPIPOCA,CE,01/06/2022,"1,59%"
BARRETOS,SP,01/06/2022,"2,03%"
MARITUBA,PA,01/06/2022,"1,75%"
SERTAOZINHO,SP,01/06/2022,"1,33%"
BAYEUX,PB,01/06/2022,"5,26%"
SINOP,MT,01/06/2022,"1,74%"
VOTORANTIM,SP,01/06/2022,"2,95%"
CODO,MA,01/06/2022,"0,00%"
ITAGUAI,RJ,01/06/2022,"2,21%"
JI PARANA,RO,01/06/2022,"5,45%"
MARANGUAPE,CE,01/06/2022,"7,69%"
ITABIRA,MG,01/06/2022,"5,19%"
BIRIGUI,SP,01/06/2022,"3,04%"
ARARUAMA,RJ,01/06/2022,"4,33%"
BRAGANCA,PA,01/06/2022,"4,35%"
CAMPO LARGO,PR,01/06/2022,"1,23%"
PACO DO LUMIAR,MA,01/06/2022,"2,82%"
ARAGUARI,MG,01/06/2022,"3,09%"
SALTO,SP,01/06/2022,"2,71%"
VESPASIANO,MG,01/06/2022,"5,41%"
SAO MATEUS,ES,01/06/2022,"2,70%"
PASSOS,MG,01/06/2022,"4,33%"
VALINHOS,SP,01/06/2022,"1,86%"
TATUI,SP,01/06/2022,"2,80%"
ALMIRANTE TAMANDARE,PR,01/06/2022,"0,83%"
RIO DAS OSTRAS,RJ,01/06/2022,"4,34%"
CORONEL FABRICIANO,MG,01/06/2022,"3,26%"
BRUSQUE,SC,01/06/2022,"3,27%"
COLATINA,ES,01/06/2022,"4,80%"
BENTO GONCALVES,RS,01/06/2022,"1,68%"
TRINDADE,GO,01/06/2022,"4,72%"
RIBEIRAO PIRES,SP,01/06/2022,"3,17%"
ARAPONGAS,PR,01/06/2022,"0,39%"
PAULO AFONSO,BA,01/06/2022,"7,20%"
POA,SP,01/06/2022,"3,11%"
GUARAPARI,ES,01/06/2022,"2,07%"
CARAGUATATUBA,SP,01/06/2022,"4,48%"
OURINHOS,SP,01/06/2022,"4,13%"
BALNEARIO CAMBORIU,SC,01/06/2022,"3,28%"
SANTANA,AP,01/06/2022,"6,82%"
ITATIBA,SP,01/06/2022,"3,23%"
BARCARENA,PA,01/06/2022,"3,23%"
UMUARAMA,PR,01/06/2022,"1,31%"
PATOS,PB,01/06/2022,"0,83%"
MURIAE,MG,01/06/2022,"0,60%"
IGARASSU,PE,01/06/2022,"1,12%"
UBA,MG,01/06/2022,"4,26%"
NOVO GAMA,GO,01/06/2022,"1,96%"
ACAILANDIA,MA,01/06/2022,"1,75%"
TRES LAGOAS,MS,01/06/2022,"3,02%"
EUNAPOLIS,BA,01/06/2022,"2,83%"
FORMOSA,GO,01/06/2022,"1,89%"
CORUMBA,MS,01/06/2022,"1,30%"
SAO LOURENCO DA MATA,PE,01/06/2022,"0,00%"
JAPERI,RJ,01/06/2022,"7,94%"
TUBARAO,SC,01/06/2022,"6,05%"
CAMBE,PR,01/06/2022,"2,00%"
ABREU E LIMA,PE,01/06/2022,"5,06%"
GUAIBA,RS,01/06/2022,"1,90%"
BACABAL,MA,01/06/2022,"6,58%"
ERECHIM,RS,01/06/2022,"1,50%"
PARINTINS,AM,01/06/2022,"5,56%"
ITUIUTABA,MG,01/06/2022,"2,06%"
JANDIRA,SP,01/06/2022,"5,00%"
ASSIS,SP,01/06/2022,"2,43%"
TUCURUI,PA,01/06/2022,"3,33%"
CAIEIRAS,SP,01/06/2022,"5,63%"
ARAXA,MG,01/06/2022,"2,53%"
LAVRAS,MG,01/06/2022,"1,74%"
BARRA DO PIRAI,RJ,01/06/2022,"12,82%"
IGUATU,CE,01/06/2022,"4,88%"
SANTA CRUZ DO CAPIBARIBE,PE,01/06/2022,"4,76%"
ITAPERUNA,RJ,01/06/2022,"2,73%"
ALTAMIRA,PA,01/06/2022,"3,70%"
LEME,SP,01/06/2022,"1,12%"
LAGARTO,SE,01/06/2022,"3,92%"
ITUMBIARA,GO,01/06/2022,"4,02%"
PARAGOMINAS,PA,01/06/2022,"0,94%"
SANTO ANTONIO DE JESUS,BA,01/06/2022,"3,67%"
ITAJUBA,MG,01/06/2022,"1,04%"
ITAITUBA,PA,01/06/2022,"0,00%"
PIRAQUARA,PR,01/06/2022,"4,43%"
ITANHAEM,SP,01/06/2022,"3,07%"
SAO GONCALO DO AMARANTE,RN,01/06/2022,"5,48%"
ITAPEVA,SP,01/06/2022,"1,34%"
CAMPO MOURAO,PR,01/06/2022,"3,00%"
SARANDI,PR,01/06/2022,"2,27%"
SAO PEDRO DA ALDEIA,RJ,01/06/2022,"4,37%"
SENADOR CANEDO,GO,01/06/2022,"1,66%"
ITABAIANA,SE,01/06/2022,"8,00%"
ITAUNA,MG,01/06/2022,"0,85%"
CATALAO,GO,01/06/2022,"4,48%"
ARIQUEMES,RO,01/06/2022,"4,59%"
VOTUPORANGA,SP,01/06/2022,"4,35%"
CACAPAVA,SP,01/06/2022,"1,08%"
JATAI,GO,01/06/2022,"1,83%"
VALENCA,BA,01/06/2022,"5,13%"
MOGI MIRIM,SP,01/06/2022,"3,43%"
SAO JOAO DA BOA VISTA,SP,01/06/2022,"1,70%"
PAULINIA,SP,01/06/2022,"2,13%"
SAO JOAO DEL REI,MG,01/06/2022,"5,88%"
ITACOATIARA,AM,01/06/2022,"0,00%"
LORENA,SP,01/06/2022,"2,16%"
ESTEIO,RS,01/06/2022,"2,75%"
TIMOTEO,MG,01/06/2022,"5,10%"
FAZENDA RIO GRANDE,PR,01/06/2022,"4,58%"
PARA DE MINAS,MG,01/06/2022,"4,51%"
MAIRIPORA,SP,01/06/2022,"3,77%"
CANDEIAS,BA,01/06/2022,"0,00%"
BREVES,PA,01/06/2022,"0,00%"
TANGARA DA SERRA,MT,01/06/2022,"3,64%"
PARANAVAI,PR,01/06/2022,"3,09%"
CARATINGA,MG,01/06/2022,"0,00%"
AVARE,SP,01/06/2022,"3,31%"
CACERES,MT,01/06/2022,"3,03%"
PARACATU,MG,01/06/2022,"0,93%"
SANTANA DO LIVRAMENTO,RS,01/06/2022,"6,06%"
NOVA LIMA,MG,01/06/2022,"2,68%"
CACHOEIRA DO SUL,RS,01/06/2022,"6,06%"
UBATUBA,SP,01/06/2022,"3,14%"
SAO ROQUE,SP,01/06/2022,"3,16%"
ARACRUZ,ES,01/06/2022,"3,00%"
SAO CRISTOVAO,SE,01/06/2022,"2,25%"
PATROCINIO,MG,01/06/2022,"1,68%"
IPOJUCA,PE,01/06/2022,"2,08%"
SEROPEDICA,RJ,01/06/2022,"6,58%"
PLANALTINA,GO,01/06/2022,"1,94%"
CRUZEIRO,SP,01/06/2022,"3,88%"
IJUI,RS,01/06/2022,"4,85%"
TRES RIOS,RJ,01/06/2022,"5,43%"
BARRA DO CORDA,MA,01/06/2022,"0,00%"
MANHUACU,MG,01/06/2022,"3,74%"
MATAO,SP,01/06/2022,"2,21%"
ARUJA,SP,01/06/2022,"1,58%"
SERRA TALHADA,PE,01/06/2022,"3,13%"
GURUPI,TO,01/06/2022,"1,72%"
ARARIPINA,PE,01/06/2022,"8,77%"
FRANCISCO BELTRAO,PR,01/06/2022,"2,97%"
QUIXADA,CE,01/06/2022,"3,33%"
GUANAMBI,BA,01/06/2022,"0,67%"
SAPIRANGA,RS,01/06/2022,"2,38%"
SANTO ANGELO,RS,01/06/2022,"8,70%"
JACOBINA,BA,01/06/2022,"6,00%"
PINHEIRO,MA,01/06/2022,"0,00%"
CARPINA,PE,01/06/2022,"3,75%"
CAMPO LIMPO PAULISTA,SP,01/06/2022,"2,37%"
JOAO MONLEVADE,MG,01/06/2022,"5,77%"
CACOAL,RO,01/06/2022,"2,56%"
BEBEDOURO,SP,01/06/2022,"3,73%"
VILHENA,RO,01/06/2022,"5,26%"
GRAVATA,PE,01/06/2022,"3,76%"
PACATUBA,CE,01/06/2022,"4,55%"
SERRINHA,BA,01/06/2022,"8,00%"
CANINDE,CE,01/06/2022,"2,08%"
LAJEADO,RS,01/06/2022,"2,36%"
SAO BENTO DO SUL,SC,01/06/2022,"0,00%"
ALFENAS,MG,01/06/2022,"4,24%"
GOIANA,PE,01/06/2022,"3,45%"
ALEGRETE,RS,01/06/2022,"5,56%"
NOVA SERRANA,MG,01/06/2022,"1,53%"
PONTA PORA,MS,01/06/2022,"6,02%"
PATO BRANCO,PR,01/06/2022,"1,18%"
VICOSA,MG,01/06/2022,"1,94%"
CRUZEIRO DO SUL,AC,01/06/2022,"2,56%"
SAO SEBASTIAO,SP,01/06/2022,"4,72%"
TRES CORACOES,MG,01/06/2022,"3,53%"
SAQUAREMA,RJ,01/06/2022,"4,21%"
PICOS,PI,01/06/2022,"4,69%"
LINS,SP,01/06/2022,"1,12%"
JABOTICABAL,SP,01/06/2022,"4,76%"
CURVELO,MG,01/06/2022,"5,26%"
REDENCAO,PA,01/06/2022,"5,17%"
TELEMACO BORBA,PR,01/06/2022,"3,70%"
UNAI,MG,01/06/2022,"1,55%"
CACADOR,SC,01/06/2022,"3,17%"
BELO JARDIM,PE,01/06/2022,"2,04%"
SAO FELIX DO XINGU,PA,01/06/2022,"0,00%"
CATAGUASES,MG,01/06/2022,"4,46%"
PIRASSUNUNGA,SP,01/06/2022,"1,24%"
CRATEUS,CE,01/06/2022,"3,03%"
CALDAS NOVAS,GO,01/06/2022,"4,17%"
AQUIRAZ,CE,01/06/2022,"2,67%"
RIO LARGO,AL,01/06/2022,"2,44%"
IBIUNA,SP,01/06/2022,"5,75%"
VALENCA,RJ,01/06/2022,"2,86%"
PALMEIRA DOS INDIOS,AL,01/06/2022,"2,38%"
ARCOVERDE,PE,01/06/2022,"0,00%"
QUIXERAMOBIM,CE,01/06/2022,"10,34%"
CIANORTE,PR,01/06/2022,"1,71%"
OURO PRETO,MG,01/06/2022,"1,92%"
VIANA,ES,01/06/2022,"1,96%"
CAJAMAR,SP,01/06/2022,"7,81%"
CHAPADINHA,MA,01/06/2022,"8,33%"
ARACATI,CE,01/06/2022,"4,41%"
TIANGUA,CE,01/06/2022,"0,00%"
RUSSAS,CE,01/06/2022,"4,00%"
CONCORDIA,SC,01/06/2022,"3,77%"
DIAS DAVILA,BA,01/06/2022,"4,05%"
CASTRO,PR,01/06/2022,"4,92%"
CAMBORIU,SC,01/06/2022,"5,95%"
SANTA ROSA,RS,01/06/2022,"1,22%"
ITAPIRA,SP,01/06/2022,"2,80%"
MOCOCA,SP,01/06/2022,"4,88%"
CEARA MIRIM,RN,01/06/2022,"0,00%"
MACAIBA,RN,01/06/2022,"10,00%"
VINHEDO,SP,01/06/2022,"2,91%"
FERNANDOPOLIS,SP,01/06/2022,"1,43%"
SAO SEBASTIAO DO PARAISO,MG,01/06/2022,"1,64%"
AMPARO,SP,01/06/2022,"0,00%"
FORMIGA,MG,01/06/2022,"1,32%"
CASCAVEL,CE,01/06/2022,"6,45%"
EMBU GUACU,SP,01/06/2022,"0,83%"
SOUSA,PB,01/06/2022,"5,15%"
NAVEGANTES,SC,01/06/2022,"3,32%"
VENANCIO AIRES,RS,01/06/2022,"0,00%"
FARROUPILHA,RS,01/06/2022,"3,54%"
TUPA,SP,01/06/2022,"3,23%"
SORRISO,MT,01/06/2022,"6,52%"
ESTANCIA,SE,01/06/2022,"2,78%"
ICO,CE,01/06/2022,"0,00%"
CAICO,RN,01/06/2022,"3,08%"
CRUZ ALTA,RS,01/06/2022,"2,56%"
CAMAQUA,RS,01/06/2022,"2,70%"
LENCOIS PAULISTA,SP,01/06/2022,"7,41%"
CAPANEMA,PA,01/06/2022,"6,67%"
SANTO ANTONIO DO DESCOBERTO,GO,01/06/2022,"12,73%"
OURICURI,PE,01/06/2022,"10,00%"
ESCADA,PE,01/06/2022,"4,76%"
ITAMARAJU,BA,01/06/2022,"0,00%"
BRUMADO,BA,01/06/2022,"9,09%"
PACAJUS,CE,01/06/2022,"5,00%"
PESQUEIRA,PE,01/06/2022,"0,00%"
VACARIA,RS,01/06/2022,"0,00%"
CONCEICAO DO COITE,BA,01/06/2022,"2,50%"
SAO BORJA,RS,01/06/2022,"0,00%"
RIO DO SUL,SC,01/06/2022,"0,00%"
CRUZ DAS ALMAS,BA,01/06/2022,"1,12%"
ARARANGUA,SC,01/06/2022,"2,97%"
JANUARIA,MG,01/06/2022,"3,08%"
CARAZINHO,RS,01/06/2022,"6,06%"
ITABERABA,BA,01/06/2022,"4,88%"
COSMOPOLIS,SP,01/06/2022,"3,17%"
PENAPOLIS,SP,01/06/2022,"0,00%"
GOIANESIA,GO,01/06/2022,"3,85%"
MORADA NOVA,CE,01/06/2022,"0,00%"
CAMPO BOM,RS,01/06/2022,"4,17%"
PENEDO,AL,01/06/2022,"3,23%"
CAMOCIM,CE,01/06/2022,"0,00%"
BOM JESUS DA LAPA,BA,01/06/2022,"0,00%"
PEDRO LEOPOLDO,MG,01/06/2022,"4,26%"
ROLANDIA,PR,01/06/2022,"0,00%"
BIGUACU,SC,01/06/2022,"3,97%"
UNIAO DOS PALMARES,AL,01/06/2022,"0,00%"
BEZERROS,PE,01/06/2022,"1,79%"
LUIS EDUARDO MAGALHAES,BA,01/06/2022,"2,19%"
PERUIBE,SP,01/06/2022,"5,03%"
MONTENEGRO,RS,01/06/2022,"4,40%"
PALMARES,PE,01/06/2022,"2,44%"
SURUBIM,PE,01/06/2022,"2,27%"
CIDADE OCIDENTAL,GO,01/06/2022,"2,70%"
GASPAR,SC,01/06/2022,"2,86%"
ICARA,SC,01/06/2022,"3,77%"
BATATAIS,SP,01/06/2022,"2,00%"
GRAJAU,MA,01/06/2022,"0,00%"
PONTE NOVA,MG,01/06/2022,"6,58%"
SANTO AMARO,BA,01/06/2022,"0,00%"
HORIZONTE,CE,01/06/2022,"2,86%"
ACARAU,CE,01/06/2022,"0,00%"
MORENO,PE,01/06/2022,"0,00%"
UNIAO DA VITORIA,PR,01/06/2022,"3,33%"
SANTA IZABEL DO PARA,PA,01/06/2022,"0,00%"
LIMOEIRO DO NORTE,CE,01/06/2022,"2,33%"
ANDRADINA,SP,01/06/2022,"2,70%"
BARRA DO GARCAS,MT,01/06/2022,"3,97%"
GUARABIRA,PB,01/06/2022,"2,86%"
MIRASSOL,SP,01/06/2022,"0,00%"
INDAIAL,SC,01/06/2022,"3,60%"
SALGUEIRO,PE,01/06/2022,"5,36%"
TRES PONTAS,MG,01/06/2022,"0,00%"
SAO MIGUEL DOS CAMPOS,AL,01/06/2022,"7,41%"
IRATI,PR,01/06/2022,"5,26%"
RIO BONITO,RJ,01/06/2022,"0,91%"
BARBALHA,CE,01/06/2022,"0,00%"
IBITINGA,SP,01/06/2022,"3,61%"
LAGOA SANTA,MG,01/06/2022,"1,68%"
TAQUARA,RS,01/06/2022,"4,00%"
PIRAPORA,MG,01/06/2022,"1,61%"
TAUA,CE,01/06/2022,"0,00%"
LIMOEIRO,PE,01/06/2022,"6,90%"
CABEDELO,PB,01/06/2022,"1,33%"
REGISTRO,SP,01/06/2022,"3,03%"
TIMBAUBA,PE,01/06/2022,"0,00%"
TAQUARITINGA,SP,01/06/2022,"2,44%"
CACHOEIRAS DE MACACU,RJ,01/06/2022,"0,00%"
CANOINHAS,SC,01/06/2022,"0,00%"
MARIANA,MG,01/06/2022,"3,00%"
PORTO FERREIRA,SP,01/06/2022,"1,41%"
FRUTAL,MG,01/06/2022,"3,39%"
GUAPIMIRIM,RJ,01/06/2022,"5,38%"
SAO BENTO DO UNA,PE,01/06/2022,"0,00%"
CAMPO BELO,MG,01/06/2022,"1,83%"
SAO PAULO,SP,01/07/2022,"3,25%"
RIO DE JANEIRO,RJ,01/07/2022,"4,35%"
SALVADOR,BA,01/07/2022,"6,16%"
BRASILIA,DF,01/07/2022,"2,85%"
FORTALEZA,CE,01/07/2022,"3,31%"
BELO HORIZONTE,MG,01/07/2022,"3,64%"
